0.00, -0.209333,-0.205147,-0.20096,-0.196773,-0.192587,-0.1884,-0.184213,-0.180027,-0.17584,-0.171653,-0.167467,-0.16328,-0.159093,-0.154907,-0.15072,-0.146533,-0.142347,-0.13816,-0.133973,-0.129787,-0.1256,-0.121413,-0.117227,-0.11304,-0.108853,-0.104667,-0.10048,-0.0962935,-0.0921068,-0.0879201,-0.0837335,-0.0795468,-0.0753601,-0.0711735,-0.0669868,-0.0628001,-0.0586134,-0.0544268,-0.0502401,-0.0460534,-0.0418668,-0.0376801,-0.0334934,-0.0293068,-0.0251201,-0.0209334,-0.0167468,-0.0125601,-0.00837344,-0.00418677,-1.08033e-07,0.00418656,0.00837323,0.0125599,0.0167466,0.0209332,0.0251199,0.0293066,0.0334932,0.0376799,0.0418666,0.0460532,0.0502399,0.0544266,0.0586132,0.0627999,0.0669866,0.0711732,0.0753599,0.0795466,0.0837332,0.0879199,0.0921066,0.0962932,0.10048,0.104667,0.108853,0.11304,0.117227,0.121413,0.1256,0.129787,0.133973,0.13816,0.142347,0.146533,0.15072,0.154907,0.159093,0.16328,0.167467,0.171653,0.17584,0.180026,0.184213,0.1884,0.192586,0.196773,0.20096,0.205146,
-0.3, -42.7326,-42.1031,-41.4735,-40.844,-40.2145,-39.5849,-38.9554,-38.3258,-37.6962,-37.0666,-36.4371,-35.8075,-35.1779,-34.5482,-33.9186,-33.289,-32.6594,-32.0297,-31.4001,-30.7704,-30.1408,-29.5111,-28.8815,-28.2518,-27.6221,-26.9924,-26.3627,-25.733,-25.1033,-24.4736,-23.8439,-23.2142,-22.5845,-21.9548,-21.3251,-20.6954,-20.0656,-19.4359,-18.8062,-18.1765,-17.5467,-16.917,-16.2872,-15.6575,-15.0278,-14.398,-13.7683,-13.1385,-12.5088,-11.879,-11.2493,-10.6196,-9.98981,-9.36007,-8.73033,-8.10059,-7.47085,-6.84111,-6.21137,-5.58164,-4.9519,-4.32217,-3.69244,-3.06271,-2.43299,-1.80326,-1.17354,-0.543829,0.0859023,0.712913,1.3357,1.95432,2.5688,3.17919,3.78552,4.38784,4.98619,5.5806,6.17112,6.75778,7.34061,7.91967,8.49498,9.06658,9.6345,10.1988,10.7595,11.3166,11.8701,12.4202,12.9668,13.51,14.0497,14.5861,15.1191,15.6488,16.1753,16.6985,17.2184,17.7352,
-0.294, -42.5076,-41.8781,-41.2486,-40.619,-39.9895,-39.3599,-38.7304,-38.1008,-37.4712,-36.8417,-36.2121,-35.5825,-34.9529,-34.3233,-33.6936,-33.064,-32.4344,-31.8048,-31.1751,-30.5455,-29.9158,-29.2861,-28.6565,-28.0268,-27.3971,-26.7674,-26.1378,-25.5081,-24.8784,-24.2487,-23.619,-22.9892,-22.3595,-21.7298,-21.1001,-20.4704,-19.8407,-19.2109,-18.5812,-17.9515,-17.3217,-16.692,-16.0623,-15.4325,-14.8028,-14.173,-13.5433,-12.9135,-12.2838,-11.6541,-11.0243,-10.3946,-9.76483,-9.13509,-8.50534,-7.8756,-7.24586,-6.61612,-5.98638,-5.35665,-4.72691,-4.09718,-3.46745,-2.83772,-2.208,-1.57828,-0.948557,-0.318841,0.310409,0.935908,1.5572,2.17434,2.78735,3.39629,4.00118,4.60208,5.19902,5.79204,6.38118,6.96647,7.54795,8.12566,8.69964,9.26993,9.83655,10.3995,10.9589,11.5148,12.0671,12.6159,13.1613,13.7032,14.2418,14.777,15.3088,15.8374,16.3626,16.8847,17.4035,17.9191,
-0.288, -42.2826,-41.6531,-41.0236,-40.394,-39.7645,-39.135,-38.5054,-37.8758,-37.2463,-36.6167,-35.9871,-35.3575,-34.7279,-34.0983,-33.4687,-32.839,-32.2094,-31.5798,-30.9501,-30.3205,-29.6908,-29.0612,-28.4315,-27.8018,-27.1721,-26.5425,-25.9128,-25.2831,-24.6534,-24.0237,-23.394,-22.7643,-22.1346,-21.5048,-20.8751,-20.2454,-19.6157,-18.9859,-18.3562,-17.7265,-17.0967,-16.467,-15.8373,-15.2075,-14.5778,-13.948,-13.3183,-12.6886,-12.0588,-11.4291,-10.7993,-10.1696,-9.53984,-8.9101,-8.28036,-7.65061,-7.02087,-6.39113,-5.7614,-5.13166,-4.50193,-3.8722,-3.24246,-2.61274,-1.98301,-1.35329,-0.723569,-0.0938525,0.534374,1.15837,1.77817,2.39383,3.00538,3.61287,4.21634,4.81582,5.41136,6.00298,6.59074,7.17467,7.75481,8.33119,8.90384,9.47282,10.0381,10.5998,11.158,11.7125,12.2636,12.8112,13.3553,13.8961,14.4334,14.9674,15.4981,16.0254,16.5496,17.0705,17.5881,18.1027,
-0.282, -42.0576,-41.4281,-40.7986,-40.1691,-39.5395,-38.91,-38.2804,-37.6508,-37.0213,-36.3917,-35.7621,-35.1325,-34.5029,-33.8733,-33.2437,-32.614,-31.9844,-31.3548,-30.7251,-30.0955,-29.4658,-28.8362,-28.2065,-27.5768,-26.9472,-26.3175,-25.6878,-25.0581,-24.4284,-23.7987,-23.169,-22.5393,-21.9096,-21.2799,-20.6501,-20.0204,-19.3907,-18.761,-18.1312,-17.5015,-16.8718,-16.242,-15.6123,-14.9825,-14.3528,-13.7231,-13.0933,-12.4636,-11.8338,-11.2041,-10.5743,-9.9446,-9.31485,-8.68511,-8.05537,-7.42563,-6.79589,-6.16615,-5.53641,-4.90667,-4.27694,-3.64721,-3.01748,-2.38775,-1.75802,-1.1283,-0.498582,0.131091,0.7578,1.38029,1.99861,2.6128,3.2229,3.82895,4.43099,5.02906,5.62319,6.21344,6.79983,7.3824,7.96119,8.53623,9.10757,9.67523,10.2393,10.7997,11.3565,11.9099,12.4597,13.006,13.549,14.0885,14.6246,15.1574,15.6869,16.2131,16.7361,17.2558,17.7724,18.2858,
-0.276, -41.8326,-41.2031,-40.5736,-39.9441,-39.3145,-38.685,-38.0554,-37.4259,-36.7963,-36.1667,-35.5371,-34.9075,-34.2779,-33.6483,-33.0187,-32.3891,-31.7594,-31.1298,-30.5002,-29.8705,-29.2409,-28.6112,-27.9815,-27.3518,-26.7222,-26.0925,-25.4628,-24.8331,-24.2034,-23.5737,-22.944,-22.3143,-21.6846,-21.0549,-20.4251,-19.7954,-19.1657,-18.536,-17.9062,-17.2765,-16.6468,-16.017,-15.3873,-14.7576,-14.1278,-13.4981,-12.8683,-12.2386,-11.6088,-10.9791,-10.3494,-9.71961,-9.08987,-8.46012,-7.83038,-7.20064,-6.5709,-5.94116,-5.31142,-4.68169,-4.05195,-3.42222,-2.79249,-2.16276,-1.53304,-0.903314,-0.273594,0.355488,0.980687,1.60169,2.21853,2.83125,3.4399,4.04451,4.64513,5.24179,5.83453,6.42339,7.00842,7.58964,8.16709,8.7408,9.31083,9.87719,10.4399,10.9991,11.5547,12.1067,12.6553,13.2004,13.7421,14.2805,14.8154,15.347,15.8753,16.4004,16.9222,17.4408,17.9562,18.4685,
-0.27, -41.6077,-40.9781,-40.3486,-39.7191,-39.0896,-38.46,-37.8304,-37.2009,-36.5713,-35.9417,-35.3121,-34.6825,-34.0529,-33.4233,-32.7937,-32.1641,-31.5344,-30.9048,-30.2752,-29.6455,-29.0159,-28.3862,-27.7565,-27.1269,-26.4972,-25.8675,-25.2378,-24.6081,-23.9784,-23.3487,-22.719,-22.0893,-21.4596,-20.8299,-20.2002,-19.5704,-18.9407,-18.311,-17.6813,-17.0515,-16.4218,-15.7921,-15.1623,-14.5326,-13.9028,-13.2731,-12.6433,-12.0136,-11.3839,-10.7541,-10.1244,-9.49462,-8.86488,-8.23514,-7.6054,-6.97565,-6.34591,-5.71617,-5.08644,-4.4567,-3.82697,-3.19723,-2.5675,-1.93778,-1.30805,-0.678326,-0.0486062,0.579345,1.20304,1.82255,2.43792,3.04918,3.65638,4.25957,4.85877,5.45402,6.04538,6.63286,7.21653,7.7964,8.37251,8.94491,9.51362,10.0787,10.6401,11.198,11.7523,12.3032,12.8505,13.3944,13.9349,14.472,15.0058,15.5362,16.0633,16.5872,17.1079,17.6254,18.1397,18.6508,
-0.264, -41.3827,-40.7532,-40.1236,-39.4941,-38.8646,-38.235,-37.6055,-36.9759,-36.3463,-35.7167,-35.0871,-34.4576,-33.8279,-33.1983,-32.5687,-31.9391,-31.3095,-30.6798,-30.0502,-29.4205,-28.7909,-28.1612,-27.5315,-26.9019,-26.2722,-25.6425,-25.0128,-24.3831,-23.7534,-23.1237,-22.494,-21.8643,-21.2346,-20.6049,-19.9752,-19.3454,-18.7157,-18.086,-17.4563,-16.8265,-16.1968,-15.5671,-14.9373,-14.3076,-13.6778,-13.0481,-12.4184,-11.7886,-11.1589,-10.5291,-9.89938,-9.26964,-8.6399,-8.01015,-7.38041,-6.75067,-6.12093,-5.49119,-4.86145,-4.23171,-3.60198,-2.97225,-2.34252,-1.71279,-1.08306,-0.453339,0.176253,0.802662,1.42486,2.04288,2.65678,3.26659,3.87235,4.47411,5.0719,5.66576,6.25573,6.84185,7.42415,8.00268,8.57746,9.14854,9.71595,10.2797,10.8399,11.3965,11.9496,12.4992,13.0453,13.5879,14.1272,14.6631,15.1957,15.725,16.251,16.7737,17.2932,17.8095,18.3227,18.8328,
-0.258, -41.1577,-40.5282,-39.8987,-39.2691,-38.6396,-38.01,-37.3805,-36.7509,-36.1213,-35.4918,-34.8622,-34.2326,-33.603,-32.9734,-32.3437,-31.7141,-31.0845,-30.4548,-29.8252,-29.1955,-28.5659,-27.9362,-27.3066,-26.6769,-26.0472,-25.4175,-24.7878,-24.1581,-23.5285,-22.8987,-22.269,-21.6393,-21.0096,-20.3799,-19.7502,-19.1205,-18.4907,-17.861,-17.2313,-16.6015,-15.9718,-15.3421,-14.7123,-14.0826,-13.4529,-12.8231,-12.1934,-11.5636,-10.9339,-10.3041,-9.67439,-9.04465,-8.41491,-7.78517,-7.15542,-6.52568,-5.89594,-5.2662,-4.63646,-4.00673,-3.37699,-2.74726,-2.11753,-1.4878,-0.858074,-0.228351,0.400542,1.02544,1.64614,2.26269,2.87513,3.48349,4.08782,4.68815,5.28453,5.877,6.46559,7.05034,7.63129,8.20848,8.78194,9.3517,9.91781,10.4803,11.0392,11.5945,12.1464,12.6947,13.2396,13.781,14.3191,14.8538,15.3852,15.9133,16.4381,16.9597,17.4781,17.9933,18.5054,19.0143,
-0.252, -40.9327,-40.3032,-39.6737,-39.0441,-38.4146,-37.7851,-37.1555,-36.5259,-35.8964,-35.2668,-34.6372,-34.0076,-33.378,-32.7484,-32.1188,-31.4891,-30.8595,-30.2299,-29.6002,-28.9706,-28.3409,-27.7112,-27.0816,-26.4519,-25.8222,-25.1925,-24.5629,-23.9332,-23.3035,-22.6738,-22.0441,-21.4143,-20.7846,-20.1549,-19.5252,-18.8955,-18.2658,-17.636,-17.0063,-16.3766,-15.7468,-15.1171,-14.4874,-13.8576,-13.2279,-12.5981,-11.9684,-11.3386,-10.7089,-10.0792,-9.44941,-8.81966,-8.18992,-7.56018,-6.93044,-6.3007,-5.67095,-5.04121,-4.41148,-3.78174,-3.15201,-2.52227,-1.89254,-1.26281,-0.633087,-0.00336414,0.624291,1.24769,1.8669,2.48197,3.09295,3.69987,4.30277,4.90169,5.49667,6.08775,6.67496,7.25836,7.83796,8.41381,8.98594,9.5544,10.1192,10.6804,11.238,11.7921,12.3427,12.8898,13.4335,13.9737,14.5106,15.0441,15.5743,16.1012,16.6249,17.1453,17.6626,18.1767,18.6876,19.1955,
